	feature_cluster	feature_fraction
CD4+ NV maturity and PD-1+TIGIT- expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.6571891224452854
CD4+ NV maturity and PD1+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.6607508430891492
CD4+ NV maturity and HLA-DR+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.6547685954783169
CD4+ NV maturity and CD39+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.9542374953329644
CD4+ NV maturity and CD226+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.9584474895886161
CD4+ NV maturity and None expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.9326075285685016
CD4+ None maturity and HLA-DR+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.5201696884223009
CD4+ EM maturity and PD-1-TIGIT+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.7128150956555938
CD4+ EM maturity and PD-1-TIGIT- expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.6794087506542544
CD4+ EM maturity and PD-1+TIGIT+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.5409868510262904
CD4+ EM maturity and PD-1+TIGIT- expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.5133881393064879
CD4+ EM maturity and PD1+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.5284193334483941
CD4+ EM maturity and HLA-DR+ expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.5152491338951837
CD4+ EM maturity and CD39+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.6649345469755922
CD4+ EM maturity and CD226+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.5626451757155344
CD4+ CM maturity and PD-1-TIGIT+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.9086083372352804
